Name,Affiliation,Google Scholar Profile
1,Philip S. Yu,https://scholar.google.com/citations?user=D0lL1r0AAAAJ&hl=en
2,Luc Van Gool,https://scholar.google.com/citations?user=TwMib_QAAAAJ&hl=en
3,Dacheng Tao,https://scholar.google.com/citations?user=RwlJNLcAAAAJ&hl=en
4,Roland Siegwart,https://scholar.google.com/citations?user=MDIyLnwAAAAJ&hl=en
5,Jiawei Han,https://scholar.google.com/citations?user=Kv9AbjMAAAAJ&hl=en
6,Daniela Rus,https://scholar.google.com/citations?user=910z20QAAAAJ&hl=en
7,Masayuki Inaba,https://scholar.google.com/citations?user=4P-VLNAAAAAJ&hl=ja
8,Wolfram Burgard,https://scholar.google.com/citations?user=YUrxwrkAAAAJ&hl=en
9,Toshio Fukuda,https://scholar.google.com/citations?user=GLQb1QcAAAAJ&hl=ja
10,Joshua B. Tenenbaum,https://scholar.google.com/citations?user=rRJ9wTJMUB8C&hl=en
11,Michael I. Jordan,https://scholar.google.com/citations?user=yxUduqMAAAAJ&hl=en
12,Vijay Kumar,https://scholar.google.com/citations?user=D_PVdowAAAAJ&hl=en
13,Bernhard Schölkopf,https://scholar.google.com/citations?user=DZ-fHPgAAAAJ&hl=en
14,Sergey Levine,https://scholar.google.com/citations?user=vtwH6GkAAAAJ&hl=en
15,Peter Stone,https://scholar.google.com/citations?user=_ZNGWBcAAAAJ&hl=en
16,Maarten De Rijke,https://scholar.google.com/citations?user=WNHLjp0AAAAJ&hl=zh-CN
17,Ming-Hsuan Yang,https://scholar.google.com/citations?user=3Qo-k9QAAAAJ&hl=en
18,Yoshua Bengio,https://scholar.google.com/citations?user=WLN3QrAAAAAJ&hl=en
19,Marc Pollefeys,https://scholar.google.com/citations?user=1NH2hXoAAAAJ&hl=en
20,Jan Peters,https://scholar.google.com/citations?user=-kIVAcAAAAAJ&hl=en
21,Trevor Darrell,https://scholar.google.com/citations?user=okcbLqoAAAAJ&hl=en
22,Zhi-Hua Zhou,https://scholar.google.com/citations?user=Exlf7uIAAAAJ&hl=en
23,Shuicheng Yan,https://scholar.google.com/citations?user=JFEHAwIAAAAJ&hl=en
24,Qiang Yang,https://scholar.google.com/citations?user=1LxWZLQAAAAJ&hl=en
25,Milind Tambe,https://scholar.google.com/citations?user=C6pnolkAAAAJ&hl=en
26,Nicholas R. Jennings,https://scholar.google.com/citations?user=Jsq0M0gAAAAJ&hl=en
27,Darwin G. Caldwell,https://scholar.google.com/citations?user=cE8_5EsAAAAJ&hl=en
28,Pieter Abbeel,https://scholar.google.com/citations?user=5tVuggUAAAAJ&hl=en
29,Eric P. Xing,https://scholar.google.com/citations?user=NBdb9XoAAAAJ&hl=en
30,Alan L. Yuille,https://scholar.google.com/citations?user=_eqVp1AAAAAJ&hl=en
31,Kei Okada,https://scholar.google.com/citations?user=SE11E_oAAAAJ&hl=zh-CN
32,Masashi Sugiyama,https://scholar.google.com/citations?user=GkYIrlIAAAAJ&hl=en
33,Song-Chun Zhu,https://scholar.google.com/citations?user=Al8dyb4AAAAJ&hl=en
34,Andrew Zisserman,https://scholar.google.com/citations?user=aCQjyp0AAAAJ&hl=en
35,Enhong Chen,https://scholar.google.com/citations?user=EL4wCtUAAAAJ&hl=zh-CN
36,Dieter Fox,https://scholar.google.com/citations?user=sPlonWcAAAAJ&hl=en
37,Dan Roth,https://scholar.google.com/citations?user=5p_uBNQAAAAJ&hl=en
38,Christos Faloutsos,https://scholar.google.com/citations?user=toMnRo0AAAAJ&hl=en
39,Huan Liu,https://scholar.google.com/citations?user=Dzf46C8AAAAJ&hl=en
40,Heng Huang,https://scholar.google.com/citations?user=a21IHOwAAAAJ&hl=en
